Last name,First name,Email,State,Birthdate,Dependent of,HR Admin
Mueller,Ida,ida.mueller6458@aol.com,NY,08/23/1984,,
Kittering,Horace,horace.kittering695@compuserve.net,OK,07/11/1975,,
Ivanisevic,Uruguay,uruguay.ivanisevic3025@hotmail.com,OK,07/23/2003,Horace Kittering,
Schtuppering,Horace,horace.schtuppering8060@compuserve.net,CA,12/18/1984,,
Vluffernutter,Nellie,nellie.vluffernutter8906@hotmail.com,NY,06/08/1972,,
Uvula,Wolfgang,wolfgang.uvula6120@hotmail.com,IL,05/03/1964,,
Codd,Tessa,tessa.codd7262@aol.com,NY,09/09/1983,,
Wachowski,Queenie,queenie.wachowski5314@aol.com,NY,06/30/1991,,
Jenkins,Nellie,nellie.jenkins1893@hotmail.com,VA,12/14/1985,,
Talts,Gilbert,gilbert.talts5395@compuserve.net,NY,03/20/1957,,
Oppenheimer,Ida,ida.oppenheimer7421@hotmail.com,CA,05/20/1967,,
Wachowski,Smitty,smitty.wachowski4964@aol.com,VA,08/11/1992,,
Yoo,Yelena,yelena.yoo7051@aol.com,CT,06/16/1972,,
Wachowski,Nellie,nellie.wachowski4741@aol.com,NY,09/24/1983,,
Jenkins,Dirk,dirk.jenkins8814@compuserve.net,NY,12/26/1976,,
Xylowitz,Ophelia,ophelia.xylowitz1471@hotmail.com,NY,07/09/1980,Dirk Jenkins,
Xylowitz,Bob,bob.xylowitz747@compuserve.net,NY,09/13/1972,,
Rosencrantz,Leonard,leonard.rosencrantz1239@compuserve.net,NY,07/14/1983,,
Lysenko,Carol,carol.lysenko8502@hotmail.com,VA,05/11/1963,,
Rosencrantz,Jenkins,jenkins.rosencrantz8399@aol.com,VA,03/08/1976,,
Oppenheimer,Fred,fred.oppenheimer7116@compuserve.net,NY,12/27/1977,,
Mueller,Klamut,klamut.mueller6407@aol.com,CA,11/08/1970,,
Djokovic,Jenkins,jenkins.djokovic2192@compuserve.net,NY,07/29/1979,,
Vluffernutter,Carol,carol.vluffernutter9704@hotmail.com,NJ,01/30/1965,,
Talts,Jenkins,jenkins.talts1987@hotmail.com,VA,03/09/1990,,
Yoo,Leonard,leonard.yoo6196@hotmail.com,NY,05/19/1955,,
Evans,Wolfgang,wolfgang.evans8090@aol.com,NJ,01/08/1979,,
Atkins,Wolfgang,wolfgang.atkins4534@compuserve.net,CA,04/16/1986,,
Atkins,Vova,vova.atkins1869@aol.com,NY,12/30/1970,,
Blabbermutt,Ophelia,ophelia.blabbermutt827@aol.com,CA,10/20/1986,,
Talts,Uruguay,uruguay.talts1803@compuserve.net,CA,06/04/1970,,
Vluffernutter,Maurice,maurice.vluffernutter9709@compuserve.net,CA,04/21/1989,Uruguay Talts,
Codd,Maurice,maurice.codd8745@hotmail.com,NJ,05/22/1968,,
Zaatar,Ophelia,ophelia.zaatar3174@compuserve.net,NY,06/01/1976,,
Oppenheimer,Fred,fred.oppenheimer3814@hotmail.com,NY,03/29/1976,,
Atkins,Maurice,maurice.atkins1404@aol.com,NJ,12/05/1969,,
Platapus,Rascal,rascal.platapus4089@hotmail.com,VA,12/08/1965,,
Atkins,Alice,alice.atkins1904@compuserve.net,NY,09/13/1962,,
Questlove,Rascal,rascal.questlove9741@aol.com,CT,12/03/1975,,
Yoo,Leonard,leonard.yoo2599@compuserve.net,NY,05/24/1981,,
Platapus,Queenie,queenie.platapus2595@hotmail.com,NY,05/08/1973,,
Oppenheimer,Queenie,queenie.oppenheimer921@hotmail.com,IL,05/05/1977,,
Djokovic,Vova,vova.djokovic7368@aol.com,WA,09/30/1970,,
Lysenko,Klamut,klamut.lysenko3477@hotmail.com,NY,07/31/1964,,
Hibbert,Jenkins,jenkins.hibbert6359@compuserve.net,NY,10/31/2004,Klamut Lysenko,
Rosencrantz,Queenie,queenie.rosencrantz1786@hotmail.com,AK,04/06/1987,,
Hibbert,Evander,evander.hibbert1341@compuserve.net,NY,01/03/1987,,
Hibbert,Ida,ida.hibbert507@hotmail.com,NY,04/03/1977,Evander Hibbert,
Kittering,Rascal,rascal.kittering6523@hotmail.com,NY,11/14/1966,,
Kittering,Nellie,nellie.kittering6126@hotmail.com,NY,01/16/1998,Rascal Kittering,
Mueller,Rascal,rascal.mueller355@compuserve.net,NY,04/27/1959,,
Atkins,Plato,plato.atkins3059@hotmail.com,VA,12/09/1972,,
Vluffernutter,Klamut,klamut.vluffernutter6062@aol.com,NY,11/01/1954,,
Platapus,Klamut,klamut.platapus4501@hotmail.com,NY,01/28/1961,,
Mueller,Bob,bob.mueller9314@hotmail.com,NY,03/04/1978,,
Rosencrantz,Ida,ida.rosencrantz7492@hotmail.com,VA,07/08/1957,,
Blabbermutt,Plato,plato.blabbermutt6746@hotmail.com,NJ,03/04/1962,,
Jenkins,Bob,bob.jenkins2111@hotmail.com,NY,01/10/1963,,
Platapus,Evander,evander.platapus6877@hotmail.com,NY,06/08/1963,,
Questlove,Evander,evander.questlove5710@compuserve.net,NY,02/02/1954,Evander Platapus,
Evans,Dirk,dirk.evans3111@compuserve.net,CT,02/18/1993,,
Zaatar,Bob,bob.zaatar3882@aol.com,NY,06/24/1984,,
Djokovic,Yelena,yelena.djokovic190@aol.com,NY,12/22/1978,,
Djokovic,Dirk,dirk.djokovic3883@aol.com,NY,12/01/1956,,
Lysenko,Ophelia,ophelia.lysenko4680@compuserve.net,NY,05/15/1964,Dirk Djokovic,
Schtuppering,Tessa,tessa.schtuppering8211@compuserve.net,NJ,08/29/1988,,
Yoo,Jenkins,jenkins.yoo9464@compuserve.net,NY,04/07/1970,,
Questlove,Leonard,leonard.questlove1408@hotmail.com,NY,05/08/1978,,
Mueller,Ophelia,ophelia.mueller840@aol.com,CA,06/28/1964,,
Hibbert,Zanzibar,zanzibar.hibbert1692@aol.com,CT,04/13/1994,,
Platapus,Ida,ida.platapus1967@compuserve.net,NJ,09/12/1977,,
Uvula,Rascal,rascal.uvula6537@compuserve.net,NY,07/09/1967,,
Oppenheimer,Smitty,smitty.oppenheimer3194@hotmail.com,NY,06/28/1960,,
Platapus,Alice,alice.platapus6489@compuserve.net,NY,08/24/1974,Smitty Oppenheimer,
Oppenheimer,Rascal,rascal.oppenheimer737@aol.com,IL,03/13/1966,,
Ivanisevic,Dirk,dirk.ivanisevic8815@hotmail.com,NY,08/14/1959,,
Rosencrantz,Leonard,leonard.rosencrantz355@compuserve.net,WA,06/10/1961,,
Xylowitz,Yelena,yelena.xylowitz8485@aol.com,NY,03/30/1970,,
Xylowitz,Tessa,tessa.xylowitz8185@aol.com,NY,07/05/2000,Yelena Xylowitz,
Platapus,Queenie,queenie.platapus4787@aol.com,NY,03/06/1994,,
Atkins,Vova,vova.atkins5001@aol.com,NJ,11/02/1962,,
Atkins,Tessa,tessa.atkins8222@aol.com,NJ,07/30/2012,Vova Atkins,
Fish,Horace,horace.fish961@aol.com,NJ,01/24/1964,,
Codd,Fred,fred.codd4215@compuserve.net,VA,01/26/1985,,
Yoo,Maurice,maurice.yoo4837@aol.com,VA,11/13/1964,Fred Codd,
Lysenko,Ida,ida.lysenko2238@aol.com,CA,09/16/1972,,
Atkins,Wolfgang,wolfgang.atkins738@hotmail.com,CT,02/17/1989,,
Jenkins,Nellie,nellie.jenkins7138@hotmail.com,OK,07/19/1992,,
Ivanisevic,Carol,carol.ivanisevic544@aol.com,NY,05/20/1981,,
Hibbert,Carol,carol.hibbert2304@hotmail.com,CA,06/28/1971,,
Xylowitz,Plato,plato.xylowitz9828@compuserve.net,AK,02/04/1968,,
Evans,Smitty,smitty.evans2896@hotmail.com,CA,06/07/1962,,
Uvula,Tessa,tessa.uvula9539@hotmail.com,CA,01/27/1964,Smitty Evans,
Vluffernutter,Gilbert,gilbert.vluffernutter3726@compuserve.net,OK,08/07/1988,,
Schtuppering,Nellie,nellie.schtuppering8997@compuserve.net,CA,11/14/1993,,
Uvula,Carol,carol.uvula4371@aol.com,NY,02/11/1989,,
Rosencrantz,Smitty,smitty.rosencrantz5723@compuserve.net,WA,11/25/1993,,
Fish,Evander,evander.fish3174@compuserve.net,NY,02/09/1969,,
Oppenheimer,Carol,carol.oppenheimer615@compuserve.net,NY,05/02/1990,,
Vluffernutter,Gilbert,gilbert.vluffernutter8227@hotmail.com,NY,11/26/1959,,
Kittering,Uruguay,uruguay.kittering9087@compuserve.net,NY,01/12/1958,,
Jenkins,Bob,bob.jenkins6885@compuserve.net,CA,04/28/1963,,
Evans,Plato,plato.evans3152@compuserve.net,NY,09/08/1963,,
Schtuppering,Dirk,dirk.schtuppering9160@compuserve.net,CA,09/03/1973,,
Oppenheimer,Ida,ida.oppenheimer2530@compuserve.net,NY,02/10/1984,,
Vluffernutter,Ophelia,ophelia.vluffernutter8923@hotmail.com,NY,05/13/1972,,
Rosencrantz,Ophelia,ophelia.rosencrantz9711@hotmail.com,WA,06/07/1957,,
Ivanisevic,Yelena,yelena.ivanisevic1389@hotmail.com,NY,09/12/1994,,
Xylowitz,Nellie,nellie.xylowitz9118@compuserve.net,NY,09/21/1967,,
Schtuppering,Fred,fred.schtuppering173@hotmail.com,CA,10/30/1975,,
Yoo,Smitty,smitty.yoo3779@hotmail.com,CA,06/04/1980,,
Uvula,Gilbert,gilbert.uvula2611@hotmail.com,CA,09/09/1968,Smitty Yoo,
Oppenheimer,Leonard,leonard.oppenheimer4935@hotmail.com,CA,02/17/1962,,
Rosencrantz,Uruguay,uruguay.rosencrantz771@hotmail.com,CT,02/05/1971,,
Rosencrantz,Horace,horace.rosencrantz9175@hotmail.com,CT,06/13/1977,Uruguay Rosencrantz,
Kittering,Dirk,dirk.kittering5694@compuserve.net,IL,07/05/1963,,
Kittering,Plato,plato.kittering5363@aol.com,IL,03/16/1991,Dirk Kittering,
Questlove,Queenie,queenie.questlove6726@compuserve.net,NY,02/21/1982,,
Xylowitz,Rascal,rascal.xylowitz7343@compuserve.net,CA,02/03/1963,,
Questlove,Fred,fred.questlove9793@aol.com,NY,09/01/1970,,
Uvula,Plato,plato.uvula1418@hotmail.com,WA,08/10/1954,,
Blabbermutt,Ida,ida.blabbermutt3586@aol.com,NY,11/11/1979,,
Blabbermutt,Maurice,maurice.blabbermutt7241@hotmail.com,CA,03/29/1963,,
Uvula,Ida,ida.uvula7987@aol.com,NY,11/28/1966,,
Evans,Fred,fred.evans2098@aol.com,NJ,03/02/1991,,
Blabbermutt,Yelena,yelena.blabbermutt8117@aol.com,CA,10/27/1967,,
Oppenheimer,Zanzibar,zanzibar.oppenheimer6142@compuserve.net,CA,08/20/1964,,
Schtuppering,Ida,ida.schtuppering4263@compuserve.net,IL,11/29/1964,,
Questlove,Ida,ida.questlove832@aol.com,NY,12/08/1976,,
Questlove,Gilbert,gilbert.questlove5376@hotmail.com,NY,09/07/1958,Ida Questlove,
Rosencrantz,Zanzibar,zanzibar.rosencrantz5042@hotmail.com,CT,03/04/1980,,
Atkins,Uruguay,uruguay.atkins3764@aol.com,NY,05/27/1967,,
Jenkins,Nellie,nellie.jenkins3159@hotmail.com,AK,02/22/1987,,
Ivanisevic,Fred,fred.ivanisevic7307@aol.com,CA,01/21/1974,,
Greenblatt,Klamut,klamut.greenblatt7188@hotmail.com,NJ,04/09/1993,,
Neuberg,Fred,fred.neuberg3800@compuserve.net,CA,06/28/1969,,
Talts,Dirk,dirk.talts5838@compuserve.net,IL,01/19/1968,,
Talts,Carol,carol.talts5604@aol.com,IL,08/05/2011,Dirk Talts,
Neuberg,Uruguay,uruguay.neuberg9840@hotmail.com,NY,10/15/1956,,
Questlove,Ida,ida.questlove3052@compuserve.net,WA,03/01/1986,,
Schtuppering,Horace,horace.schtuppering2628@hotmail.com,VA,01/10/1955,,
Schtuppering,Queenie,queenie.schtuppering1165@aol.com,VA,01/01/2006,Horace Schtuppering,
Neuberg,Maurice,maurice.neuberg9699@hotmail.com,WA,01/07/1971,,
Vluffernutter,Gilbert,gilbert.vluffernutter9396@aol.com,NY,10/31/1965,,
Platapus,Nellie,nellie.platapus2159@aol.com,NY,11/13/1957,,
Wachowski,Yelena,yelena.wachowski1485@hotmail.com,IL,04/20/1955,,
Wachowski,Uruguay,uruguay.wachowski6269@compuserve.net,NY,11/30/1975,,
Yoo,Smitty,smitty.yoo2966@compuserve.net,OK,11/26/1971,,
Mueller,Plato,plato.mueller4826@hotmail.com,NY,04/19/1958,,
Atkins,Ophelia,ophelia.atkins2006@aol.com,CA,07/06/1963,,
Wachowski,Tessa,tessa.wachowski6653@compuserve.net,CA,03/12/1962,,
Atkins,Tessa,tessa.atkins1224@aol.com,VA,11/06/1966,,
Wachowski,Zanzibar,zanzibar.wachowski2965@hotmail.com,VA,02/27/1977,,
Xylowitz,Leonard,leonard.xylowitz349@compuserve.net,NY,01/16/1979,,
Xylowitz,Leonard,leonard.xylowitz3803@hotmail.com,NY,07/28/1992,,
Fish,Xerxes,xerxes.fish2973@hotmail.com,NY,06/23/1967,,
Blabbermutt,Alice,alice.blabbermutt7837@hotmail.com,NY,10/13/1972,,
Blabbermutt,Nellie,nellie.blabbermutt6994@aol.com,NY,05/31/1967,Alice Blabbermutt,
Yoo,Ophelia,ophelia.yoo4513@hotmail.com,NY,12/22/1963,,
Atkins,Leonard,leonard.atkins1224@compuserve.net,OK,01/30/1965,,
Jenkins,Leonard,leonard.jenkins933@compuserve.net,NJ,04/09/1980,,
Zaatar,Xerxes,xerxes.zaatar8328@compuserve.net,NJ,02/26/1972,Leonard Jenkins,
Yoo,Nellie,nellie.yoo7387@hotmail.com,OK,01/10/1979,,
Platapus,Xerxes,xerxes.platapus4124@compuserve.net,VA,01/28/1969,,
Neuberg,Jenkins,jenkins.neuberg4071@aol.com,NY,04/15/1973,,
Vluffernutter,Dirk,dirk.vluffernutter4140@aol.com,NY,08/25/1984,,
Greenblatt,Fred,fred.greenblatt9218@compuserve.net,NY,08/30/1965,,
Kittering,Evander,evander.kittering3767@hotmail.com,NY,02/11/1968,,
Kittering,Evander,evander.kittering1747@hotmail.com,NY,04/14/1986,,
Xylowitz,Alice,alice.xylowitz8011@hotmail.com,NY,03/13/1962,,
Kittering,Queenie,queenie.kittering6348@compuserve.net,NY,11/25/1990,,
Djokovic,Jenkins,jenkins.djokovic9221@aol.com,NY,04/01/1971,Queenie Kittering,
Hibbert,Ophelia,ophelia.hibbert7912@compuserve.net,WA,04/18/1957,,
Xylowitz,Klamut,klamut.xylowitz7447@compuserve.net,CA,07/11/1962,,
Blabbermutt,Ida,ida.blabbermutt7877@hotmail.com,NY,02/21/1977,,
Schtuppering,Dirk,dirk.schtuppering4515@hotmail.com,OK,10/05/1955,,
Schtuppering,Klamut,klamut.schtuppering9475@aol.com,OK,08/11/1985,Dirk Schtuppering,
Kittering,Tessa,tessa.kittering3010@compuserve.net,IL,07/01/1989,,
Greenblatt,Tessa,tessa.greenblatt700@compuserve.net,VA,04/25/1970,,
Rosencrantz,Jenkins,jenkins.rosencrantz2808@compuserve.net,CT,05/31/1986,,
Questlove,Wolfgang,wolfgang.questlove2039@aol.com,NY,04/05/1981,,
Schtuppering,Smitty,smitty.schtuppering2913@compuserve.net,NY,05/03/1977,,
Yoo,Dirk,dirk.yoo8675@aol.com,NJ,12/02/1961,,
Vluffernutter,Dirk,dirk.vluffernutter2917@hotmail.com,NY,10/26/1967,,
Platapus,Carol,carol.platapus2993@aol.com,NY,04/01/1979,,
Platapus,Jenkins,jenkins.platapus7193@hotmail.com,NY,08/17/1985,,
Ivanisevic,Evander,evander.ivanisevic453@aol.com,NY,06/30/1988,,
Codd,Smitty,smitty.codd7276@hotmail.com,AK,06/06/1966,,
Djokovic,Ida,ida.djokovic5090@hotmail.com,NY,06/29/1977,,
Ivanisevic,Queenie,queenie.ivanisevic9095@hotmail.com,AK,07/25/1964,,
Zaatar,Alice,alice.zaatar1828@compuserve.net,NY,05/09/1969,,
Atkins,Rascal,rascal.atkins1042@hotmail.com,AK,02/03/1978,,
Xylowitz,Ida,ida.xylowitz4321@aol.com,NY,08/07/1979,,
Talts,Fred,fred.talts6327@aol.com,CT,11/15/1976,,
Xylowitz,Smitty,smitty.xylowitz7007@compuserve.net,OK,11/01/1985,,
Fish,Nellie,nellie.fish1260@hotmail.com,NY,03/18/1990,,
Fish,Klamut,klamut.fish4596@hotmail.com,NY,03/19/1995,Nellie Fish,
Mueller,Zanzibar,zanzibar.mueller7878@compuserve.net,AK,12/10/1984,,
Ivanisevic,Fred,fred.ivanisevic8137@aol.com,NY,12/28/1979,,
Lysenko,Ophelia,ophelia.lysenko4080@aol.com,CT,05/12/1974,,
Kittering,Alice,alice.kittering4076@hotmail.com,NY,08/13/1954,,
Yoo,Yelena,yelena.yoo2835@hotmail.com,NY,08/25/1993,,
Questlove,Horace,horace.questlove3360@compuserve.net,AK,03/27/1968,,
Rosencrantz,Evander,evander.rosencrantz438@aol.com,NY,05/09/1973,,
Lysenko,Tessa,tessa.lysenko9375@compuserve.net,NY,05/13/1987,Evander Rosencrantz,
Mueller,Fred,fred.mueller6709@hotmail.com,CT,09/09/1986,,
Lysenko,Xerxes,xerxes.lysenko2053@compuserve.net,NY,04/30/1984,,
Hibbert,Tessa,tessa.hibbert6741@aol.com,NJ,07/12/1976,,
Hibbert,Vova,vova.hibbert3900@compuserve.net,NJ,06/04/1979,,
Oppenheimer,Uruguay,uruguay.oppenheimer7211@hotmail.com,NY,05/27/1975,,
Atkins,Ophelia,ophelia.atkins6745@compuserve.net,NY,01/15/1980,,
Codd,Zanzibar,zanzibar.codd8656@aol.com,NY,05/09/1972,,
Neuberg,Zanzibar,zanzibar.neuberg2497@aol.com,NY,05/24/1987,,
Codd,Bob,bob.codd620@hotmail.com,NY,06/20/1974,,
Jenkins,Alice,alice.jenkins5022@compuserve.net,NY,10/28/1972,Bob Codd,
Atkins,Tessa,tessa.atkins8723@compuserve.net,NY,08/06/1983,,
Ivanisevic,Leonard,leonard.ivanisevic7487@compuserve.net,NY,08/14/1968,,
Rosencrantz,Uruguay,uruguay.rosencrantz4204@aol.com,NY,08/09/1974,,
Greenblatt,Dirk,dirk.greenblatt3100@hotmail.com,NY,05/04/1967,,
Ivanisevic,Rascal,rascal.ivanisevic2770@hotmail.com,IL,06/30/1982,,
Platapus,Tessa,tessa.platapus4973@hotmail.com,CA,09/07/1985,,
Djokovic,Yelena,yelena.djokovic6317@hotmail.com,CA,05/06/1979,,
Ivanisevic,Ophelia,ophelia.ivanisevic2514@compuserve.net,WA,04/04/1974,,
Talts,Ophelia,ophelia.talts6809@compuserve.net,NY,04/08/1978,,
Djokovic,Klamut,klamut.djokovic9909@aol.com,NY,07/11/1964,,
Xylowitz,Fred,fred.xylowitz489@hotmail.com,VA,08/09/1974,,
Codd,Fred,fred.codd4661@aol.com,OK,04/19/1957,,
Codd,Fred,fred.codd5096@hotmail.com,OK,09/28/2013,Fred Codd,
Mueller,Zanzibar,zanzibar.mueller7777@hotmail.com,CA,01/30/1972,,
Kittering,Leonard,leonard.kittering9119@aol.com,CA,03/15/1954,,
Kittering,Tessa,tessa.kittering431@hotmail.com,CA,07/10/1989,Leonard Kittering,
Neuberg,Ida,ida.neuberg7844@compuserve.net,NY,06/15/1967,,
Rosencrantz,Plato,plato.rosencrantz2880@compuserve.net,OK,04/12/1976,,
Rosencrantz,Klamut,klamut.rosencrantz7562@compuserve.net,VA,04/17/1967,,
Lysenko,Zanzibar,zanzibar.lysenko6992@compuserve.net,VA,01/21/1991,,
Rosencrantz,Xerxes,xerxes.rosencrantz2885@aol.com,NJ,12/24/1970,,
Oppenheimer,Wolfgang,wolfgang.oppenheimer3449@compuserve.net,NJ,12/29/1985,Xerxes Rosencrantz,
Fish,Vova,vova.fish2051@compuserve.net,NJ,08/04/1981,,
Codd,Xerxes,xerxes.codd3777@aol.com,CA,05/28/1980,,
Neuberg,Evander,evander.neuberg8722@hotmail.com,NY,06/15/1963,,
Hibbert,Queenie,queenie.hibbert9410@compuserve.net,NY,09/15/1984,,
Djokovic,Rascal,rascal.djokovic783@compuserve.net,NY,01/17/1980,,
Jenkins,Vova,vova.jenkins1159@aol.com,NY,05/05/1960,,
Greenblatt,Plato,plato.greenblatt1354@compuserve.net,CA,12/19/1957,,
Yoo,Plato,plato.yoo6028@hotmail.com,NY,12/13/1969,,
Talts,Gilbert,gilbert.talts1054@aol.com,CT,01/24/1967,,
Djokovic,Plato,plato.djokovic1115@hotmail.com,NY,04/01/1979,,
Lysenko,Bob,bob.lysenko2769@hotmail.com,NJ,12/01/1982,,
Lysenko,Rascal,rascal.lysenko6606@compuserve.net,NJ,03/07/1969,Bob Lysenko,
Kittering,Gilbert,gilbert.kittering4517@compuserve.net,NY,10/27/1970,,
Talts,Evander,evander.talts2365@hotmail.com,CT,08/16/1955,,
Platapus,Vova,vova.platapus465@compuserve.net,NY,11/08/1956,,
Mueller,Rascal,rascal.mueller2364@hotmail.com,CT,06/09/1984,,
Questlove,Yelena,yelena.questlove1520@compuserve.net,VA,04/03/1975,,
Rosencrantz,Evander,evander.rosencrantz5143@hotmail.com,NY,04/08/1983,,
Hibbert,Uruguay,uruguay.hibbert8540@aol.com,NY,03/18/1966,,
Wachowski,Zanzibar,zanzibar.wachowski5638@compuserve.net,IL,06/18/1967,,
Mueller,Rascal,rascal.mueller1366@compuserve.net,VA,11/12/1976,,
Ivanisevic,Dirk,dirk.ivanisevic9543@compuserve.net,NY,07/02/1957,,
Fish,Uruguay,uruguay.fish2430@compuserve.net,CA,03/13/1954,,
Uvula,Klamut,klamut.uvula729@hotmail.com,NY,12/15/1964,,
Atkins,Queenie,queenie.atkins7797@compuserve.net,OK,08/07/1967,,
Evans,Alice,alice.evans8445@aol.com,OK,03/09/1988,,
Lysenko,Ida,ida.lysenko4041@hotmail.com,NY,05/07/1978,,
Ivanisevic,Horace,horace.ivanisevic9842@aol.com,AK,09/17/1981,,
Vluffernutter,Alice,alice.vluffernutter1797@aol.com,AK,01/06/1992,Horace Ivanisevic,
Blabbermutt,Ophelia,ophelia.blabbermutt7598@aol.com,CA,11/30/1971,,
Neuberg,Fred,fred.neuberg9716@aol.com,CA,10/13/1959,,
Atkins,Rascal,rascal.atkins7015@hotmail.com,CA,07/21/1966,,
Atkins,Rascal,rascal.atkins1555@hotmail.com,NY,04/17/1994,,
Talts,Gilbert,gilbert.talts5577@compuserve.net,WA,09/21/1964,,
Codd,Gilbert,gilbert.codd7932@aol.com,OK,07/23/1969,,
Fish,Carol,carol.fish947@aol.com,OK,06/05/1960,Gilbert Codd,
Rosencrantz,Evander,evander.rosencrantz6647@compuserve.net,IL,02/04/1991,,
Fish,Dirk,dirk.fish4430@aol.com,NY,04/22/1964,,
Hibbert,Plato,plato.hibbert293@compuserve.net,NY,10/01/1967,,
Vluffernutter,Vova,vova.vluffernutter8538@aol.com,NY,02/11/1984,,
Yoo,Vova,vova.yoo9567@hotmail.com,NY,04/09/1960,,
Greenblatt,Vova,vova.greenblatt8119@compuserve.net,NY,07/07/1960,,
Yoo,Alice,alice.yoo1220@compuserve.net,CT,09/06/1966,,
Yoo,Jenkins,jenkins.yoo1612@hotmail.com,CT,01/13/1963,Alice Yoo,
Rosencrantz,Evander,evander.rosencrantz3497@compuserve.net,OK,08/20/1988,,
Neuberg,Vova,vova.neuberg264@aol.com,NJ,10/04/1989,,
Codd,Carol,carol.codd3276@hotmail.com,NY,12/27/1994,,
Questlove,Klamut,klamut.questlove7584@hotmail.com,IL,06/12/1954,,
Djokovic,Yelena,yelena.djokovic5828@aol.com,NY,02/02/1971,,
Codd,Wolfgang,wolfgang.codd4204@hotmail.com,NY,03/25/1982,,
Oppenheimer,Horace,horace.oppenheimer352@hotmail.com,NY,01/20/1993,,
Neuberg,Fred,fred.neuberg6385@aol.com,WA,01/20/1960,,
Jenkins,Gilbert,gilbert.jenkins6745@hotmail.com,VA,02/26/1969,,
Zaatar,Alice,alice.zaatar9390@compuserve.net,OK,06/04/1961,,
Greenblatt,Uruguay,uruguay.greenblatt9520@aol.com,CT,09/02/1993,,
Greenblatt,Rascal,rascal.greenblatt8214@hotmail.com,NY,06/01/1971,,
Zaatar,Jenkins,jenkins.zaatar4465@compuserve.net,NY,01/08/1966,Rascal Greenblatt,
Platapus,Maurice,maurice.platapus7588@hotmail.com,CT,06/24/1961,,
Greenblatt,Rascal,rascal.greenblatt651@hotmail.com,NY,11/27/1991,,
Lysenko,Carol,carol.lysenko3675@compuserve.net,NY,01/09/1964,,
Mueller,Rascal,rascal.mueller4990@hotmail.com,WA,10/12/1977,,
